Absolute Dose(Gy),Liver (7) (Volume: 1627.6 mL)
51.8,14.63372
51.9,14.51056
52,14.37935
52.1,14.23912
52.2,14.08724
52.3,13.92054
52.4,13.73613
52.5,13.52981
52.6,13.26277
52.7,12.422
52.8,10.96059
52.9,9.28988
53,7.71663
53.1,6.38032
53.2,5.37122
53.3,4.54906
53.4,3.87234
53.5,3.2585
53.6,2.66296
53.7,2.06484
53.8,1.51504
53.9,1.07335
54,0.73707
54.1,0.47774
54.2,0.30038
54.3,0.18414
54.4,0.09554
54.5,0.039
54.6,0.00531
54.7,0
